t,success,mid,pmt,pg,sub_type,hr,bank,time
10,6,medlife_prod,NB,RAZORPAY,,2020-02-14 14,NB_SBI,2020021414
6,3,purplle.com,NB,PAYU,,2020-02-14 16,NB_SBI,2020021416
13,11,pharmeasytech,NB,PAYU,,2020-02-14 11,NB_SBI,2020021411
1,1,purplle.com,NB,PAYU,,2020-02-14 01,NB_SBI,2020021401
5,4,countrydelight,NB,PAYU,,2020-02-14 04,NB_SBI,2020021404
9,6,zivame,NB,PAYU,,2020-02-14 20,NB_SBI,2020021420
2,2,pharmeasytech,NB,PAYTM,,2020-02-14 19,NB_SBI,2020021419
4,1,zivame,NB,RAZORPAY,,2020-02-14 18,NB_SBI,2020021418
14,9,pharmeasytech,NB,PAYU,,2020-02-14 07,NB_SBI,2020021407
3,3,drivezy,NB,GOCASHFREE,,2020-02-14 02,NB_SBI,2020021402
5,3,drivezy,NB,GOCASHFREE,,2020-02-14 12,NB_SBI,2020021412
5,3,zivame,NB,PAYU,,2020-02-14 03,NB_SBI,2020021403
1,1,zivame,NB,RAZORPAY,,2020-02-14 15,NB_SBI,2020021415
2,1,purplle.com,NB,PAYU,,2020-02-14 20,NB_SBI,2020021420
3,3,drivezy,NB,GOCASHFREE,,2020-02-14 14,NB_SBI,2020021414
12,9,countrydelight,NB,PAYU,,2020-02-13 06,NB_SBI,2020021306
10,9,pharmeasytech,NB,PAYU,,2020-02-13 13,NB_SBI,2020021313
1,1,pharmeasytech,NB,PAYU,,2020-02-13 00,NB_SBI,2020021300
8,3,drivezy,NB,GOCASHFREE,,2020-02-13 08,NB_SBI,2020021308
5,4,drivezy,NB,GOCASHFREE,,2020-02-13 13,NB_SBI,2020021313
12,4,fanfight,NB,RAZORPAY,,2020-02-13 00,NB_SBI,2020021300
34,21,urbanclap,NB,PAYTM,,2020-02-13 03,NB_SBI,2020021303
9,5,fanfight,NB,RAZORPAY,,2020-02-13 07,NB_SBI,2020021307
20,3,fanfight,NB,RAZORPAY,,2020-02-13 08,NB_SBI,2020021308
12,12,pharmeasytech,NB,PAYU,,2020-02-13 02,NB_SBI,2020021302
33,21,urbanclap,NB,PAYTM,,2020-02-13 13,NB_SBI,2020021313
17,11,medlife_prod,NB,RAZORPAY,,2020-02-13 05,NB_SBI,2020021305
8,5,medlife_prod,NB,RAZORPAY,,2020-02-13 08,NB_SBI,2020021308
3,1,countrydelight,NB,PAYU,,2020-02-13 10,NB_SBI,2020021310
8,0,fanfight,NB,RAZORPAY,,2020-02-13 09,NB_SBI,2020021309
20,16,pharmeasytech,NB,PAYU,,2020-02-13 12,NB_SBI,2020021312
12,9,pharmeasytech,NB,PAYU,,2020-02-13 04,NB_SBI,2020021304
12,9,pharmeasytech,NB,PAYU,,2020-02-13 06,NB_SBI,2020021306
4,1,drivezy,NB,GOCASHFREE,,2020-02-13 12,NB_SBI,2020021312
6,4,pharmeasytech,NB,PAYU,,2020-02-13 01,NB_SBI,2020021301
8,6,zivame,NB,PAYU,,2020-02-13 18,NB_SBI,2020021318
10,10,medlife_prod,NB,RAZORPAY,,2020-02-13 02,NB_SBI,2020021302
17,12,zivame,NB,PAYU,,2020-02-13 15,NB_SBI,2020021315
38,10,fanfight,NB,RAZORPAY,,2020-02-13 14,NB_SBI,2020021314
7,5,countrydelight,NB,PAYU,,2020-02-13 16,NB_SBI,2020021316
17,8,urbanclap,NB,PAYTM,,2020-02-13 18,NB_SBI,2020021318
13,7,medlife_prod,NB,RAZORPAY,,2020-02-13 17,NB_SBI,2020021317
13,7,purplle.com,NB,PAYU,,2020-02-13 16,NB_SBI,2020021316
23,13,urbanclap,NB,PAYTM,,2020-02-13 17,NB_SBI,2020021317
7,3,purplle.com,NB,PAYU,,2020-02-13 14,NB_SBI,2020021314
6,5,medlife_prod,NB,RAZORPAY,,2020-02-13 15,NB_SBI,2020021315
8,6,drivezy,NB,GOCASHFREE,,2020-02-13 18,NB_SBI,2020021318
12,7,purplle.com,NB,PAYU,,2020-02-13 17,NB_SBI,2020021317
9,9,countrydelight,NB,PAYU,,2020-02-13 14,NB_SBI,2020021314
3,2,drivezy,NB,GOCASHFREE,,2020-02-14 09,NB_SBI,2020021409
1,0,fanfight,NB,RAZORPAY,,2020-02-14 00,NB_SBI,2020021400
1,0,fanfight,NB,RAZORPAY,,2020-02-14 21,NB_SBI,2020021421
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 21,NB_SBI,2020021421
1,0,zivame,NB,RAZORPAY,,2020-02-14 14,NB_SBI,2020021414
4,3,pharmeasytech,NB,PAYTM,,2020-02-12 02,NB_SBI,2020021202
17,12,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_SBI,2020021207
7,5,pharmeasytech,NB,PAYU,,2020-02-12 00,NB_SBI,2020021200
6,6,pharmeasytech,NB,PAYTM,,2020-02-12 09,NB_SBI,2020021209
3,3,purplle.com,NB,PAYU,,2020-02-12 02,NB_SBI,2020021202
14,8,medlife_prod,NB,RAZORPAY,,2020-02-12 04,NB_SBI,2020021204
18,14,medlife_prod,NB,RAZORPAY,,2020-02-12 10,NB_SBI,2020021210
1,0,purplle.com,NB,PAYU,,2020-02-12 21,NB_SBI,2020021221
8,3,urbanclap,NB,PAYTM,,2020-02-12 18,NB_SBI,2020021218
7,5,pharmeasytech,NB,PAYU,,2020-02-12 15,NB_SBI,2020021215
5,1,purplle.com,NB,PAYU,,2020-02-12 13,NB_SBI,2020021213
5,3,drivezy,NB,GOCASHFREE,,2020-02-12 12,NB_SBI,2020021212
3,2,drivezy,NB,GOCASHFREE,,2020-02-12 06,NB_SBI,2020021206
1,0,drivezy,NB,GOCASHFREE,,2020-02-12 14,NB_SBI,2020021214
7,6,countrydelight,NB,PAYU,,2020-02-12 13,NB_SBI,2020021213
13,8,purplle.com,NB,PAYU,,2020-02-12 17,NB_SBI,2020021217
10,5,pharmeasytech,NB,PAYU,,2020-02-13 10,NB_SBI,2020021310
9,5,pharmeasytech,NB,PAYTM,,2020-02-13 05,NB_SBI,2020021305
10,9,countrydelight,NB,PAYU,,2020-02-13 12,NB_SBI,2020021312
8,5,purplle.com,NB,PAYU,,2020-02-13 10,NB_SBI,2020021310
5,2,drivezy,NB,GOCASHFREE,,2020-02-13 09,NB_SBI,2020021309
7,4,urbanclap,NB,PAYTM,,2020-02-13 02,NB_SBI,2020021302
6,5,drivezy,NB,GOCASHFREE,,2020-02-13 05,NB_SBI,2020021305
4,1,zivame,NB,PAYU,,2020-02-13 11,NB_SBI,2020021311
8,3,purplle.com,NB,PAYU,,2020-02-13 06,NB_SBI,2020021306
2,2,zivame,NB,RAZORPAY,,2020-02-13 06,NB_SBI,2020021306
10,9,zivame,NB,PAYU,,2020-02-13 07,NB_SBI,2020021307
7,2,fanfight,NB,RAZORPAY,,2020-02-13 21,NB_SBI,2020021321
6,4,pharmeasytech,NB,PAYU,,2020-02-13 16,NB_SBI,2020021316
7,2,drivezy,NB,GOCASHFREE,,2020-02-13 16,NB_SBI,2020021316
10,6,zivame,NB,PAYU,,2020-02-13 19,NB_SBI,2020021319
5,5,pharmeasytech,NB,PAYTM,,2020-02-12 05,NB_SBI,2020021205
2,1,drivezy,NB,GOCASHFREE,,2020-02-12 03,NB_SBI,2020021203
1,0,fanfight,NB,RAZORPAY,,2020-02-12 23,NB_SBI,2020021223
3,2,drivezy,NB,GOCASHFREE,,2020-02-12 07,NB_SBI,2020021207
12,11,pharmeasytech,NB,PAYU,,2020-02-12 13,NB_SBI,2020021213
6,4,drivezy,NB,GOCASHFREE,,2020-02-12 15,NB_SBI,2020021215
5,4,pharmeasytech,NB,PAYTM,,2020-02-12 08,NB_SBI,2020021208
2,1,zivame,NB,RAZORPAY,,2020-02-12 10,NB_SBI,2020021210
9,6,zivame,NB,PAYU,,2020-02-12 08,NB_SBI,2020021208
1,1,drivezy,NB,GOCASHFREE,,2020-02-12 20,NB_SBI,2020021220
7,1,fanfight,NB,RAZORPAY,,2020-02-13 05,NB_SBI,2020021305
1,0,zivame,NB,RAZORPAY,,2020-02-13 17,NB_SBI,2020021317
4,0,fanfight,NB,RAZORPAY,,2020-02-13 19,NB_SBI,2020021319
1,0,urbanclap,NB,PAYTM,,2020-02-12 23,NB_SBI,2020021223
5,4,pharmeasytech,NB,PAYU,,2020-02-12 18,NB_SBI,2020021218
10,6,countrydelight,NB,PAYU,,2020-02-13 07,NB_SBI,2020021307
3,2,medlife_prod,NB,RAZORPAY,,2020-02-13 18,NB_SBI,2020021318
7,5,pharmeasytech,NB,PAYTM,,2020-02-13 09,NB_SBI,2020021309
3,3,pharmeasytech,NB,PAYTM,,2020-02-13 17,NB_SBI,2020021317
1,1,pharmeasytech,NB,PAYU,,2020-02-12 19,NB_SBI,2020021219
1,1,zivame,NB,PAYU,,2020-02-12 20,NB_SBI,2020021220
1,1,pharmeasytech,NB,PAYU,,2020-02-14 19,NB_SBI,2020021419
2,0,pharmeasytech,NB,PAYU,,2020-02-14 18,NB_SBI,2020021418
3,2,drivezy,NB,GOCASHFREE,,2020-02-13 04,NB_SBI,2020021304
2,1,zivame,NB,RAZORPAY,,2020-02-13 08,NB_SBI,2020021308
3,3,countrydelight,NB,PAYU,,2020-02-13 03,NB_SBI,2020021303
3,0,medlife_prod,NB,RAZORPAY,,2020-02-13 00,NB_SBI,2020021300
6,5,drivezy,NB,GOCASHFREE,,2020-02-13 03,NB_SBI,2020021303
1,1,pharmeasytech,NB,PAYU,,2020-02-14 23,NB_SBI,2020021423
1,1,zivame,NB,RAZORPAY,,2020-02-14 00,NB_SBI,2020021400
2,1,zivame,NB,RAZORPAY,,2020-02-13 09,NB_SBI,2020021309
1,1,zivame,NB,RAZORPAY,,2020-02-13 10,NB_SBI,2020021310
1,0,urbanclap,NB,PAYTM,,2020-02-13 00,NB_SBI,2020021300
1,1,zivame,NB,RAZORPAY,,2020-02-13 02,NB_SBI,2020021302
1,0,pharmeasytech,NB,PAYU,,2020-02-14 21,NB_SBI,2020021421
2,2,zivame,NB,RAZORPAY,,2020-02-12 14,NB_SBI,2020021214
27,16,medlife_prod,NB,RAZORPAY,,2020-02-14 06,NB_SBI,2020021406
45,29,urbanclap,NB,PAYTM,,2020-02-14 05,NB_SBI,2020021405
14,7,pharmeasytech,NB,PAYU,,2020-02-14 12,NB_SBI,2020021412
13,8,medlife_prod,NB,RAZORPAY,,2020-02-14 11,NB_SBI,2020021411
5,3,countrydelight,NB,PAYU,,2020-02-14 08,NB_SBI,2020021408
8,3,pharmeasytech,NB,PAYTM,,2020-02-14 12,NB_SBI,2020021412
35,19,urbanclap,NB,PAYTM,,2020-02-14 08,NB_SBI,2020021408
35,16,urbanclap,NB,PAYTM,,2020-02-14 11,NB_SBI,2020021411
1,0,zivame,NB,RAZORPAY,,2020-02-14 12,NB_SBI,2020021412
15,11,pharmeasytech,NB,PAYU,,2020-02-14 08,NB_SBI,2020021408
3,2,drivezy,NB,GOCASHFREE,,2020-02-14 11,NB_SBI,2020021411
13,8,pharmeasytech,NB,PAYU,,2020-02-14 13,NB_SBI,2020021413
24,8,fanfight,NB,RAZORPAY,,2020-02-14 08,NB_SBI,2020021408
15,12,countrydelight,NB,PAYU,,2020-02-14 12,NB_SBI,2020021412
1,1,drivezy,NB,GOCASHFREE,,2020-02-14 01,NB_SBI,2020021401
8,7,medlife_prod,NB,RAZORPAY,,2020-02-14 01,NB_SBI,2020021401
10,8,medlife_prod,NB,RAZORPAY,,2020-02-14 12,NB_SBI,2020021412
2,2,zivame,NB,RAZORPAY,,2020-02-14 11,NB_SBI,2020021411
21,12,pharmeasytech,NB,PAYU,,2020-02-14 05,NB_SBI,2020021405
32,23,urbanclap,NB,PAYTM,,2020-02-14 13,NB_SBI,2020021413
5,4,drivezy,NB,GOCASHFREE,,2020-02-14 18,NB_SBI,2020021418
5,2,drivezy,NB,GOCASHFREE,,2020-02-14 19,NB_SBI,2020021419
92,34,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_SBI,2020021415
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 19,NB_SBI,2020021419
4,3,purplle.com,NB,PAYU,,2020-02-14 18,NB_SBI,2020021418
23,14,zivame,NB,PAYU,,2020-02-14 14,NB_SBI,2020021414
4,1,fanfight,NB,RAZORPAY,,2020-02-14 16,NB_SBI,2020021416
23,7,fanfight,NB,RAZORPAY,,2020-02-14 10,NB_SBI,2020021410
18,3,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_SBI,2020021404
1,1,zivame,NB,RAZORPAY,,2020-02-14 09,NB_SBI,2020021409
12,4,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_SBI,2020021405
8,6,countrydelight,NB,PAYU,,2020-02-14 02,NB_SBI,2020021402
9,7,countrydelight,NB,PAYU,,2020-02-14 13,NB_SBI,2020021413
14,1,fanfight,NB,RAZORPAY,,2020-02-14 01,NB_SBI,2020021401
6,1,purplle.com,NB,PAYU,,2020-02-14 06,NB_SBI,2020021406
12,10,pharmeasytech,NB,PAYTM,,2020-02-14 15,NB_SBI,2020021415
5,3,drivezy,NB,GOCASHFREE,,2020-02-14 16,NB_SBI,2020021416
4,0,fanfight,NB,RAZORPAY,,2020-02-14 22,NB_SBI,2020021422
11,9,medlife_prod,NB,RAZORPAY,,2020-02-14 15,NB_SBI,2020021415
3,0,purplle.com,NB,PAYU,,2020-02-14 19,NB_SBI,2020021419
13,9,zivame,NB,PAYU,,2020-02-12 13,NB_SBI,2020021213
5,5,countrydelight,NB,PAYU,,2020-02-12 05,NB_SBI,2020021205
13,12,medlife_prod,NB,RAZORPAY,,2020-02-12 12,NB_SBI,2020021212
29,6,fanfight,NB,RAZORPAY,,2020-02-12 08,NB_SBI,2020021208
13,6,zivame,NB,PAYU,,2020-02-12 11,NB_SBI,2020021211
35,18,urbanclap,NB,PAYTM,,2020-02-12 07,NB_SBI,2020021207
10,6,pharmeasytech,NB,PAYU,,2020-02-12 06,NB_SBI,2020021206
10,8,zivame,NB,PAYU,,2020-02-12 10,NB_SBI,2020021210
6,6,pharmeasytech,NB,PAYTM,,2020-02-12 11,NB_SBI,2020021211
24,8,fanfight,NB,RAZORPAY,,2020-02-12 09,NB_SBI,2020021209
5,5,countrydelight,NB,PAYU,,2020-02-12 03,NB_SBI,2020021203
29,3,fanfight,NB,RAZORPAY,,2020-02-12 06,NB_SBI,2020021206
41,21,urbanclap,NB,PAYTM,,2020-02-12 06,NB_SBI,2020021206
20,5,fanfight,NB,RAZORPAY,,2020-02-12 10,NB_SBI,2020021210
11,8,countrydelight,NB,PAYU,,2020-02-12 02,NB_SBI,2020021202
26,11,urbanclap,NB,PAYTM,,2020-02-12 03,NB_SBI,2020021203
7,6,purplle.com,NB,PAYU,,2020-02-12 08,NB_SBI,2020021208
7,5,pharmeasytech,NB,PAYU,,2020-02-12 01,NB_SBI,2020021201
9,8,countrydelight,NB,PAYU,,2020-02-12 10,NB_SBI,2020021210
13,6,purplle.com,NB,PAYU,,2020-02-12 11,NB_SBI,2020021211
5,3,countrydelight,NB,PAYU,,2020-02-12 04,NB_SBI,2020021204
10,1,fanfight,NB,RAZORPAY,,2020-02-12 04,NB_SBI,2020021204
9,7,medlife_prod,NB,RAZORPAY,,2020-02-12 02,NB_SBI,2020021202
5,2,zivame,NB,PAYU,,2020-02-12 19,NB_SBI,2020021219
34,26,urbanclap,NB,PAYTM,,2020-02-12 13,NB_SBI,2020021213
8,8,countrydelight,NB,PAYU,,2020-02-12 16,NB_SBI,2020021216
50,16,fanfight,NB,RAZORPAY,,2020-02-12 14,NB_SBI,2020021214
25,13,medlife_prod,NB,RAZORPAY,,2020-02-12 14,NB_SBI,2020021214
8,5,pharmeasytech,NB,PAYU,,2020-02-12 17,NB_SBI,2020021217
23,14,urbanclap,NB,PAYTM,,2020-02-12 16,NB_SBI,2020021216
31,20,urbanclap,NB,PAYTM,,2020-02-12 15,NB_SBI,2020021215
6,5,zivame,NB,PAYU,,2020-02-14 10,NB_SBI,2020021410
6,2,purplle.com,NB,PAYU,,2020-02-14 09,NB_SBI,2020021409
1,1,zivame,NB,RAZORPAY,,2020-02-14 01,NB_SBI,2020021401
3,3,pharmeasytech,NB,PAYTM,,2020-02-14 01,NB_SBI,2020021401
9,7,pharmeasytech,NB,PAYTM,,2020-02-14 14,NB_SBI,2020021414
5,2,purplle.com,NB,PAYU,,2020-02-14 17,NB_SBI,2020021417
2,2,drivezy,NB,GOCASHFREE,,2020-02-14 23,NB_SBI,2020021423
4,4,zivame,NB,PAYU,,2020-02-14 19,NB_SBI,2020021419
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 22,NB_SBI,2020021422
6,3,countrydelight,NB,PAYU,,2020-02-14 15,NB_SBI,2020021415
2,1,pharmeasytech,NB,PAYU,,2020-02-14 20,NB_SBI,2020021420
5,2,urbanclap,NB,PAYTM,,2020-02-14 20,NB_SBI,2020021420
5,0,fanfight,NB,RAZORPAY,,2020-02-14 18,NB_SBI,2020021418
7,4,purplle.com,NB,PAYU,,2020-02-14 08,NB_SBI,2020021408
7,4,drivezy,NB,GOCASHFREE,,2020-02-14 07,NB_SBI,2020021407
10,8,medlife_prod,NB,RAZORPAY,,2020-02-14 08,NB_SBI,2020021408
5,4,drivezy,NB,GOCASHFREE,,2020-02-14 06,NB_SBI,2020021406
1,0,zivame,NB,RAZORPAY,,2020-02-14 19,NB_SBI,2020021419
11,6,medlife_prod,NB,RAZORPAY,,2020-02-13 11,NB_SBI,2020021311
13,9,pharmeasytech,NB,PAYU,,2020-02-13 07,NB_SBI,2020021307
45,26,urbanclap,NB,PAYTM,,2020-02-13 05,NB_SBI,2020021305
8,7,pharmeasytech,NB,PAYTM,,2020-02-13 12,NB_SBI,2020021312
17,8,medlife_prod,NB,RAZORPAY,,2020-02-13 13,NB_SBI,2020021313
39,21,urbanclap,NB,PAYTM,,2020-02-13 08,NB_SBI,2020021308
31,10,fanfight,NB,RAZORPAY,,2020-02-13 13,NB_SBI,2020021313
6,5,zivame,NB,PAYU,,2020-02-13 04,NB_SBI,2020021304
48,24,urbanclap,NB,PAYTM,,2020-02-13 04,NB_SBI,2020021304
26,19,medlife_prod,NB,RAZORPAY,,2020-02-13 03,NB_SBI,2020021303
39,23,urbanclap,NB,PAYTM,,2020-02-13 07,NB_SBI,2020021307
20,10,zivame,NB,PAYU,,2020-02-13 05,NB_SBI,2020021305
6,4,purplle.com,NB,PAYU,,2020-02-13 13,NB_SBI,2020021313
8,6,purplle.com,NB,PAYU,,2020-02-13 05,NB_SBI,2020021305
11,6,medlife_prod,NB,RAZORPAY,,2020-02-13 09,NB_SBI,2020021309
8,2,medlife_prod,NB,RAZORPAY,,2020-02-13 12,NB_SBI,2020021312
11,6,zivame,NB,PAYU,,2020-02-13 13,NB_SBI,2020021313
9,0,fanfight,NB,RAZORPAY,,2020-02-13 03,NB_SBI,2020021303
1,1,zivame,NB,RAZORPAY,,2020-02-13 21,NB_SBI,2020021321
7,7,pharmeasytech,NB,PAYTM,,2020-02-13 06,NB_SBI,2020021306
8,6,pharmeasytech,NB,PAYU,,2020-02-13 15,NB_SBI,2020021315
1,1,countrydelight,NB,PAYU,,2020-02-13 19,NB_SBI,2020021319
3,2,drivezy,NB,GOCASHFREE,,2020-02-13 15,NB_SBI,2020021315
4,3,drivezy,NB,GOCASHFREE,,2020-02-13 19,NB_SBI,2020021319
10,6,countrydelight,NB,PAYU,,2020-02-13 15,NB_SBI,2020021315
18,1,fanfight,NB,RAZORPAY,,2020-02-13 15,NB_SBI,2020021315
4,3,urbanclap,NB,PAYTM,,2020-02-13 20,NB_SBI,2020021320
11,4,purplle.com,NB,PAYU,,2020-02-13 11,NB_SBI,2020021311
3,2,zivame,NB,RAZORPAY,,2020-02-13 16,NB_SBI,2020021316
7,6,drivezy,NB,GOCASHFREE,,2020-02-13 17,NB_SBI,2020021317
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 23,NB_SBI,2020021423
17,8,urbanclap,NB,PAYTM,,2020-02-12 02,NB_SBI,2020021202
19,13,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_SBI,2020021206
19,12,zivame,NB,PAYU,,2020-02-12 15,NB_SBI,2020021215
4,2,urbanclap,NB,PAYTM,,2020-02-12 19,NB_SBI,2020021219
3,2,countrydelight,NB,PAYU,,2020-02-12 18,NB_SBI,2020021218
1,1,drivezy,NB,GOCASHFREE,,2020-02-12 18,NB_SBI,2020021218
2,2,drivezy,NB,GOCASHFREE,,2020-02-12 23,NB_SBI,2020021223
4,2,medlife_prod,NB,RAZORPAY,,2020-02-12 18,NB_SBI,2020021218
9,7,zivame,NB,PAYU,,2020-02-12 12,NB_SBI,2020021212
2,1,countrydelight,NB,PAYU,,2020-02-12 01,NB_SBI,2020021201
6,4,purplle.com,NB,PAYU,,2020-02-12 05,NB_SBI,2020021205
4,3,medlife_prod,NB,RAZORPAY,,2020-02-12 01,NB_SBI,2020021201
8,6,pharmeasytech,NB,PAYTM,,2020-02-12 03,NB_SBI,2020021203
2,0,fanfight,NB,ZAAKPAY,,2020-02-12 22,NB_SBI,2020021222
6,2,purplle.com,NB,PAYU,,2020-02-12 19,NB_SBI,2020021219
7,5,pharmeasytech,NB,PAYTM,,2020-02-12 15,NB_SBI,2020021215
5,3,drivezy,NB,GOCASHFREE,,2020-02-12 16,NB_SBI,2020021216
13,9,zivame,NB,PAYU,,2020-02-12 16,NB_SBI,2020021216
1,0,fanfight,NB,RAZORPAY,,2020-02-12 20,NB_SBI,2020021220
7,5,purplle.com,NB,PAYU,,2020-02-14 05,NB_SBI,2020021405
1,1,purplle.com,NB,PAYU,,2020-02-14 00,NB_SBI,2020021400
2,2,drivezy,NB,GOCASHFREE,,2020-02-14 04,NB_SBI,2020021404
1,1,zivame,NB,RAZORPAY,,2020-02-14 13,NB_SBI,2020021413
2,2,medlife_prod,NB,RAZORPAY,,2020-02-14 20,NB_SBI,2020021420
3,2,zivame,NB,PAYU,,2020-02-13 02,NB_SBI,2020021302
11,2,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_SBI,2020021301
7,1,purplle.com,NB,PAYU,,2020-02-13 04,NB_SBI,2020021304
18,15,pharmeasytech,NB,PAYU,,2020-02-13 05,NB_SBI,2020021305
3,3,countrydelight,NB,PAYU,,2020-02-13 02,NB_SBI,2020021302
7,5,purplle.com,NB,PAYU,,2020-02-13 07,NB_SBI,2020021307
8,4,countrydelight,NB,PAYU,,2020-02-13 08,NB_SBI,2020021308
3,3,drivezy,NB,GOCASHFREE,,2020-02-13 06,NB_SBI,2020021306
4,3,zivame,NB,PAYU,,2020-02-13 01,NB_SBI,2020021301
11,10,pharmeasytech,NB,PAYTM,,2020-02-13 02,NB_SBI,2020021302
32,24,medlife_prod,NB,RAZORPAY,,2020-02-13 04,NB_SBI,2020021304
17,13,medlife_prod,NB,RAZORPAY,,2020-02-13 14,NB_SBI,2020021314
2,0,pharmeasytech,NB,PAYU,,2020-02-13 19,NB_SBI,2020021319
1,0,countrydelight,NB,PAYU,,2020-02-13 20,NB_SBI,2020021320
7,3,fanfight,NB,RAZORPAY,,2020-02-13 18,NB_SBI,2020021318
3,3,pharmeasytech,NB,PAYTM,,2020-02-13 18,NB_SBI,2020021318
10,5,medlife_prod,NB,RAZORPAY,,2020-02-13 16,NB_SBI,2020021316
7,5,countrydelight,NB,PAYU,,2020-02-12 09,NB_SBI,2020021209
4,3,countrydelight,NB,PAYU,,2020-02-12 17,NB_SBI,2020021217
2,0,fanfight,NB,ZAAKPAY,,2020-02-12 21,NB_SBI,2020021221
1,1,urbanclap,NB,PAYTM,,2020-02-12 22,NB_SBI,2020021222
2,2,medlife_prod,NB,RAZORPAY,,2020-02-12 23,NB_SBI,2020021223
2,2,zivame,NB,PAYU,,2020-02-12 21,NB_SBI,2020021221
6,0,fanfight,NB,RAZORPAY,,2020-02-12 17,NB_SBI,2020021217
1,0,purplle.com,NB,PAYU,,2020-02-12 20,NB_SBI,2020021220
1,0,urbanclap,NB,PAYTM,,2020-02-12 00,NB_SBI,2020021200
9,8,countrydelight,NB,PAYU,,2020-02-13 05,NB_SBI,2020021305
8,5,pharmeasytech,NB,PAYTM,,2020-02-13 10,NB_SBI,2020021310
13,8,medlife_prod,NB,RAZORPAY,,2020-02-13 06,NB_SBI,2020021306
8,6,pharmeasytech,NB,PAYTM,,2020-02-13 07,NB_SBI,2020021307
4,3,purplle.com,NB,PAYU,,2020-02-13 19,NB_SBI,2020021319
1,1,zivame,NB,RAZORPAY,,2020-02-13 15,NB_SBI,2020021315
14,3,fanfight,NB,RAZORPAY,,2020-02-13 17,NB_SBI,2020021317
2,2,purplle.com,NB,PAYU,,2020-02-13 18,NB_SBI,2020021318
3,3,purplle.com,NB,PAYU,,2020-02-13 20,NB_SBI,2020021320
2,0,fanfight,NB,RAZORPAY,,2020-02-13 23,NB_SBI,2020021323
3,2,pharmeasytech,NB,PAYTM,,2020-02-12 07,NB_SBI,2020021207
5,4,pharmeasytech,NB,PAYTM,,2020-02-12 16,NB_SBI,2020021216
2,1,zivame,NB,RAZORPAY,,2020-02-12 18,NB_SBI,2020021218
3,3,zivame,NB,RAZORPAY,,2020-02-12 13,NB_SBI,2020021213
7,4,pharmeasytech,NB,PAYTM,,2020-02-12 13,NB_SBI,2020021213
1,1,urbanclap,NB,PAYTM,,2020-02-12 21,NB_SBI,2020021221
1,0,pharmeasytech,NB,PAYTM,,2020-02-12 18,NB_SBI,2020021218
3,1,pharmeasytech,NB,PAYU,,2020-02-12 12,NB_SBI,2020021212
6,5,medlife_prod,NB,RAZORPAY,,2020-02-13 01,NB_SBI,2020021301
8,0,fanfight,NB,RAZORPAY,,2020-02-13 06,NB_SBI,2020021306
2,2,zivame,NB,PAYU,,2020-02-13 21,NB_SBI,2020021321
5,2,pharmeasytech,NB,PAYTM,,2020-02-13 15,NB_SBI,2020021315
3,2,urbanclap,NB,PAYTM,,2020-02-13 19,NB_SBI,2020021319
4,2,drivezy,NB,GOCASHFREE,,2020-02-13 07,NB_SBI,2020021307
1,0,zivame,NB,RAZORPAY,,2020-02-13 19,NB_SBI,2020021319
2,2,zivame,NB,PAYU,,2020-02-13 03,NB_SBI,2020021303
1,0,purplle.com,NB,PAYU,,2020-02-13 22,NB_SBI,2020021322
3,2,pharmeasytech,NB,PAYTM,,2020-02-13 23,NB_SBI,2020021323
10,7,zivame,NB,PAYU,,2020-02-13 09,NB_SBI,2020021309
1,1,urbanclap,NB,PAYTM,,2020-02-13 22,NB_SBI,2020021322
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 19,NB_SBI,2020021319
1,1,zivame,NB,RAZORPAY,,2020-02-14 10,NB_SBI,2020021410
1,1,pharmeasytech,NB,PAYU,,2020-02-14 22,NB_SBI,2020021422
1,0,zivame,NB,PAYU,,2020-02-14 23,NB_SBI,2020021423
1,1,zivame,NB,RAZORPAY,,2020-02-14 02,NB_SBI,2020021402
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 22,NB_SBI,2020021422
4,4,pharmeasytech,NB,PAYU,,2020-02-13 03,NB_SBI,2020021303
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 00,NB_SBI,2020021300
1,1,zivame,NB,PAYU,,2020-02-13 20,NB_SBI,2020021320
2,1,medlife_prod,NB,RAZORPAY,,2020-02-13 19,NB_SBI,2020021319
1,1,zivame,NB,PAYU,,2020-02-12 00,NB_SBI,2020021200
2,1,zivame,NB,RAZORPAY,,2020-02-12 05,NB_SBI,2020021205
1,1,countrydelight,NB,PAYU,,2020-02-13 00,NB_SBI,2020021300
2,0,purplle.com,NB,PAYU,,2020-02-13 12,NB_SBI,2020021312
1,1,zivame,NB,RAZORPAY,,2020-02-13 22,NB_SBI,2020021322
